,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
660,cyclopentenone,no_stereo,231.9,257,250,244
661,cyclopentenone,no_stereo,249.8,267,241,234
662,cyclopentenone,no_stereo,266.7,249,244,238
663,cyclopentenone,no_stereo,271.1,267,255,253
664,cyclopentenone,no_stereo,238.5,247,243,241
665,cyclopentenone,no_stereo,242.1,257,253,252
666,cyclopentenone,no_stereo,246.9,247,254,252
667,cyclopentenone,no_stereo,251.1,239,253,248
668,cyclopentenone,no_stereo,204.4,214,212,209
669,cyclopentenone,no_stereo,214.8,224,223,221
670,cyclopentenone,no_stereo,211.6,214,212,209
671,cyclopentenone,no_stereo,221.2,224,223,221
672,cyclopentenone,no_stereo,248.1,249,250,248
673,cyclopentenone,no_stereo,209.1,232,212,205
674,cyclopentenone,no_stereo,280.3,267,250,244
675,cyclopentenone,no_stereo,262.1,249,241,238
676,cyclopentenone,no_stereo,210.9,232,215,213
677,cyclopentenone,no_stereo,264.1,267,244,242
678,cyclopentenone,no_stereo,247.8,239,250,248
679,cyclopentenone,no_stereo,228.2,232,226,224
680,cyclopentenone,no_stereo,255.2,257,264,263
681,cyclopentenone,no_stereo,234.3,229,240,237
